id;consulta;resolucao;trecho;relevante
1;Qual regulamento rege as concessões de rodovias federais atualmente?;6000/2022;"Art. 28-A . A celebração de termo aditivo aos contratos de concessão para adesão ao Regulamento das Concessões Rodoviárias observará as seguintes diretrizes: I - terá natureza facultativa e não constituirá direito subjetivo da concessionária interessada; II - poderá ocorrer por provocação da ANTT ou mediante requerimento da concessionária; III - poderá ser promovida de forma individual ou em rodad";
2;Que multas e penalidades a ANTT pode aplicar a quem transporta carga irregularmente?;5867/2020;Art. 9º-K Independentemente da aplicação das penalidades pecuniárias previstas no art. 9º-J, a ANTT poderá aplicar, mediante decisão administrativa fundamentada, a penalidade de suspensão do direito de fazer novas contratações de transporte rodoviário de cargas ao contratante que descumprir reiteradamente as obrigações legais relativas ao piso mínimo de frete. (Incluído pela RESOLUÇÃO ANTT Nº 6.07;
3;"Preciso transportar explosivos; a carga tem que ter sinalização e rótulo de risco?";5232/2016;es Móveis de Bombeamento (UMB) com capacidade inferior a 1.000 litros, os rótulos de riscos podem ser substituídos por rótulos menores, em conformidade com o item 5.2.2.2.1.1.2. Os grupos de compatibilidade não podem ser indicados nos rótulos de risco dos explosivos se as Unidades Móveis de Bombeamento (UMB) estiverem transportando substâncias ou artigos que pertençam a mais de um grupo de compati;
4;"Tenho débitos com a ANTT que ainda não foram para a dívida ativa; consigo parcelar?";5830/2018;RESOLUÇÃO Nº 5.830, DE 10 DE OUTUBRO DE 2018 Dispõe sobre o parcelamento de débitos não inscritos em Dívida Ativa, oriundos de multas aplicadas pela Agência Nacional de Transportes Terrestres - ANTT em razão do exercício do seu poder de polícia. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DEB - 294, de 3 de outubro de;
5;O vale-pedágio precisa mesmo ser pago à parte do frete, ou pode ser descontado do motorista?;6024/2023;"Art. 2º Para os fins desta Resolução, empregam-se os seguintes conceitos e definições: I - categoria do veículo: classificação dos veículos de carga de forma padronizada, para efeito de cobrança da tarifa de pedágio, pelas concessionárias de rodovia, conforme contratos de concessão, através da contagem de eixos; II - concessionária de rodovia: empresa vencedora de processo licitatório, por prazo d";
6;Existe um valor mínimo que devo receber por um frete? Como esse piso é calculado?;5849/2019;Art. 9º Constituem infrações administrativas as seguintes condutas: I - o contratante que contratar o serviço de transporte rodoviário de carga abaixo do piso mínimo estabelecido pela ANTT: multa no valor de duas vezes a diferença entre o valor pago e o piso devido com base nesta Resolução, limitada ao mínimo de R$ 550,00 (quinhentos e cinquenta reais) e ao máximo de R$ 10.500,00 (dez mil e quinhe;
7;Como a ANTT reajusta a tarifa de pedágio cobrada pelas concessionárias?;6032/2023;Art. 55. A tarifa de pedágio terá seu valor definido pela ANTT, observado o disposto no contrato de concessão e no Regulamento das Concessões Rodoviárias. § 1º As alterações na tarifa de pedágio serão implementadas a zero hora da data de reajuste do contrato de concessão ou, extrapolada esta data, do terceiro dia subsequente à publicação da decisão da ANTT no Diário Oficial da União, conforme o ca;
8;"Sou embarcador e contratei um caminhoneiro autônomo; preciso adiantar o pedágio da viagem?";6024/2023;"Art. 2º Para os fins desta Resolução, empregam-se os seguintes conceitos e definições: I - categoria do veículo: classificação dos veículos de carga de forma padronizada, para efeito de cobrança da tarifa de pedágio, pelas concessionárias de rodovia, conforme contratos de concessão, através da contagem de eixos; II - concessionária de rodovia: empresa vencedora de processo licitatório, por prazo d";
9;"Quero abrir uma linha regular de ônibus entre dois estados; o que a regulação exige?";5840/2019;"Art. 4º Para fins de obtenção da Licença Originária o requerente deverá atender aos seguintes requisitos: I - ser Empresa ou Cooperativa constituída nos termos da legislação brasileira, tendo o transporte rodoviário de cargas dentre as atividades econômicas; II - estar regular no Registro Nacional de Transportadores Rodoviários de Cargas - RNTRC; III - não possuir multas impeditivas, junto à ANTT;";
10;"Vou mandar uma carga de caminhão para a Argentina; que regras da ANTT valem para essa viagem internacional?";5583/2017;Art. 2º A empresa transportadora que estiver suspensa ou com Licença Complementar vencida por um período superior a 180 (cento e oitenta) dias terá a sua frota de veículos excluída do sistema na ligação Brasil - Peru. Art. 3º A qualquer tempo a ANTT poderá solicitar que a empresa transportadora comprove a realização de, ao menos, uma viagem com mercadoria entre o Brasil e o Peru nos últimos 12 (do;
